# CFX3 (CFX335, FC:E8:C0:A9:0B:FA) first sessions, 2026-09-20 12:17-12:39, laptop on top of the cooler.
# Bonded via bluetoothctl while the cooler was in its Bluetooth pairing menu. Link opened with
# `bluetoothctl connect`, console attached (bleak reused the link), handshake PING-first.
# TX = console → cooler, RX = cooler → console. Hex exactly as on GATT; text = pyddm decoding.
# WiFi SSID payload redacted (topic 00 00 07 01).

12:17:10,578  --  Connecting to FC:E8:C0:A9:0B:FA …
12:17:15,948  --  Link up (MTU 23; BlueZ reports 23 until the first write)
12:17:15,948  --  Enabling notifications
12:17:31,093  --  No handshake completion within 15s. The device did not send the expected ACK. Try 'Send PING', another handshake variant, or check bonding.
12:17:50,225  TX  02                                               PING
12:17:50,291  RX  04                                               ACK
12:17:50,292  TX  03                                               HELLO
12:17:50,366  RX  04                                               ACK
12:17:50,366  --  Handshake complete, session READY
12:18:05,366  --  BLE link lost
12:18:05,367  --  Disconnected
12:18:05,367  --  Connecting to FC:E8:C0:A9:0B:FA …
12:18:37,355  --  BLE link lost
12:19:50,913  --  Connecting to FC:E8:C0:A9:0B:FA …
12:20:24,384  --  BLE link lost
12:21:32,191  --  Connecting to FC:E8:C0:A9:0B:FA …
12:22:06,349  --  BLE link lost
12:23:08,330  --  Connecting to FC:E8:C0:A9:0B:FA …
12:23:26,079  --  Link up (MTU 23; BlueZ reports 23 until the first write)
12:23:26,079  --  Enabling notifications
12:23:26,083  TX  02                                               PING
12:23:28,139  --  BLE link lost
12:23:41,085  --  No handshake completion within 15s. The device did not send the expected ACK. Try 'Send PING', another handshake variant, or check bonding.
12:24:02,371  --  Disconnected
12:24:02,372  --  Connecting to FC:E8:C0:A9:0B:FA …
12:24:38,380  --  BLE link lost
12:24:54,305  --  Connecting to FC:E8:C0:A9:0B:FA …
12:25:27,394  --  BLE link lost
12:26:29,096  --  Connecting to FC:E8:C0:A9:0B:FA …
12:26:32,986  --  BLE link lost
12:27:03,359  --  BLE link lost
12:27:13,506  --  Connecting to FC:E8:C0:A9:0B:FA …
12:27:48,398  --  BLE link lost
12:27:58,538  --  Connecting to FC:E8:C0:A9:0B:FA …
12:28:34,374  --  BLE link lost
12:32:38,864  --  Connecting to FC:E8:C0:A9:0B:FA …
12:34:03,626  --  Connecting to FC:E8:C0:A9:0B:FA …
12:35:28,538  --  Connecting to FC:E8:C0:A9:0B:FA via BlueZ object /org/bluez/hci0/dev_FC_E8_C0_A9_0B_FA …
12:35:28,547  --  Link up (MTU 23; BlueZ reports 23 until the first write)
12:35:28,547  --  Enabling notifications
12:35:28,613  TX  02                                               PING
12:35:28,689  RX  04                                               ACK
12:35:28,690  TX  03                                               HELLO
12:35:28,801  RX  04                                               ACK
12:35:28,801  --  Handshake complete, session READY
12:35:28,804  --  Subscribing to 14 parameter(s)
12:35:28,805  TX  01 00 C0 00 00                                   SUBSCRIBE 00 C0 00 00  productInformation.productModelNumber
12:35:28,877  RX  04                                               ACK
12:35:28,928  TX  01 00 C1 00 00                                   SUBSCRIBE 00 C1 00 00  productInformation.productSerialNumber
12:35:28,988  RX  04                                               ACK
12:35:29,038  TX  01 00 C4 00 00                                   SUBSCRIBE 00 C4 00 00  productInformation.productType
12:35:29,102  RX  04                                               ACK
12:35:29,153  TX  01 00 C1 00 80                                   SUBSCRIBE 00 C1 00 80  deviceSpecific.ccFirmwareVersion
12:35:29,213  RX  04                                               ACK
