# FJZ7 (SHE_366f0c, 68:FE:71:36:6F:0E) first successful session, 2026-09-20 11:55-11:56
# Laptop BlueZ, bonded via bluetoothctl after the AC was put in pairing mode (button combination on the AC).
# TX = console → AC, RX = AC → console. Hex exactly as on GATT; text after it is pyddm's decoding.

2026-09-20 11:56:08,832  TX  12 00 00 00 00
2026-09-20 11:56:08,872  RX  10 00 00 00 00 01 00 00 00
2026-09-20 11:56:08,922  TX  12 02 00 00 00
2026-09-20 11:56:08,992  RX  10 02 00 00 00 32 2E 32 2E 31
2026-09-20 11:56:09,043  TX  12 13 00 00 00
2026-09-20 11:56:09,082  RX  10 13 00 00 00 04 00 00 00
2026-09-20 11:56:09,132  TX  12 0E 00 00 00
2026-09-20 11:56:09,172  RX  10 0E 00 00 00
2026-09-20 11:56:09,223  TX  12 0F 00 00 00
2026-09-20 11:56:09,262  RX  10 0F 00 00 00 39 36 30 30 30 35 31 30 30 30
2026-09-20 11:56:09,313  TX  12 00 00 02 01
2026-09-20 11:56:09,354  RX  10 00 00 02 01 01 00 00 00
2026-09-20 11:56:09,404  TX  12 09 00 02 01
2026-09-20 11:56:09,492  TX  12 21 00 02 01
2026-09-20 11:56:09,582  TX  12 01 00 02 01
2026-09-20 11:56:09,672  TX  12 03 00 02 01
2026-09-20 11:56:09,762  TX  12 23 00 02 01
2026-09-20 11:56:09,852  TX  12 04 00 02 01
2026-09-20 11:56:09,942  TX  12 0A 00 02 01
2026-09-20 11:56:10,032  TX  12 27 00 02 01
2026-09-20 11:56:10,122  TX  12 02 00 02 01
2026-09-20 11:56:10,213  TX  12 0B 00 02 01
2026-09-20 11:56:10,302  TX  12 0C 00 02 01
2026-09-20 11:56:10,393  TX  12 05 00 02 01
2026-09-20 11:56:10,482  TX  12 06 00 02 01
2026-09-20 11:56:10,572  TX  12 1B 00 02 01
2026-09-20 11:56:10,662  TX  12 24 00 02 01
2026-09-20 11:56:10,752  TX  12 25 00 02 01
2026-09-20 11:56:10,842  TX  12 07 00 02 01
2026-09-20 11:56:10,932  TX  12 2C 00 02 01
2026-09-20 11:56:11,022  TX  12 2D 00 02 01
2026-09-20 11:56:11,112  TX  12 1A 00 02 01
2026-09-20 11:56:11,202  TX  12 1E 00 02 01
2026-09-20 11:56:11,602  RX  10 09 00 02 01 12 00 00 00
2026-09-20 11:56:11,632  RX  10 21 00 02 01 32 2E 32 2E 30
2026-09-20 11:56:11,633  RX  10 01 00 02 01 01 00 00 00
2026-09-20 11:56:11,633  RX  10 03 00 02 01 02 00 00 00
2026-09-20 11:56:11,635  RX  10 04 00 02 01 F0 55 00 00
2026-09-20 11:56:11,635  RX  10 0A 00 02 01 90 65 00 00
2026-09-20 11:56:11,635  RX  10 02 00 02 01 02 00 00 00
2026-09-20 11:56:11,637  RX  10 0B 00 02 01 00 00 00 00
2026-09-20 11:56:11,637  RX  10 0C 00 02 01 00 00 00 00
2026-09-20 11:56:11,637  RX  10 05 00 02 01 00 00 00 00
2026-09-20 11:56:11,662  RX  10 06 00 02 01 64 00 00 00
2026-09-20 11:56:11,663  RX  10 1B 00 02 01 00 00 00 00
2026-09-20 11:56:11,663  RX  10 07 00 02 01 00 00 00 00
2026-09-20 11:56:11,664  RX  10 2C 00 02 01 58 02 00 00
2026-09-20 11:56:11,665  RX  10 2D 00 02 01 07 00 00 00
2026-09-20 11:56:11,665  RX  10 1A 00 02 01
2026-09-20 11:56:11,667  RX  10 1E 00 02 01 10 00 00 00
