# FJZ7 (SHE_366f0c) write test, 2026-09-20 11:58-11:59. Same bonded session as first-session.log.
# TX = console → AC (SET 0x11), RX = AC → console (PUBLISH 0x10). Every SET was confirmed by a PUBLISH.

2026-09-20 11:58:24,200  WRITE ac.lgt ← 1
2026-09-20 11:58:24,200  ddm2 TX 11 05 00 02 01 01 00 00 00
2026-09-20 11:58:24,586  ddm2 RX 10 06 00 02 01 64 00 00 00
2026-09-20 11:58:24,586  ddm2 RX 10 05 00 02 01 01 00 00 00
2026-09-20 11:58:29,324  WRITE ac.lgt ← 0
2026-09-20 11:58:29,324  ddm2 TX 11 05 00 02 01 00 00 00 00
2026-09-20 11:58:29,777  ddm2 RX 10 05 00 02 01 00 00 00 00
2026-09-20 11:58:41,630  WRITE ac.ttemp ← 24
2026-09-20 11:58:41,630  ddm2 TX 11 04 00 02 01 C0 5D 00 00
2026-09-20 11:58:42,074  ddm2 RX 10 04 00 02 01 C0 5D 00 00
2026-09-20 11:58:48,117  WRITE ac.on ← 0
2026-09-20 11:58:48,118  ddm2 TX 11 01 00 02 01 00 00 00 00
2026-09-20 11:58:48,494  ddm2 RX 10 01 00 02 01 00 00 00 00
2026-09-20 11:58:53,915  WRITE ac.on ← 1
2026-09-20 11:58:53,915  ddm2 TX 11 01 00 02 01 01 00 00 00
2026-09-20 11:58:54,283  ddm2 RX 10 03 00 02 01 02 00 00 00
2026-09-20 11:58:54,284  ddm2 RX 10 01 00 02 01 01 00 00 00
2026-09-20 11:58:58,649  WRITE ac.md ← 0
2026-09-20 11:58:58,650  ddm2 TX 11 03 00 02 01 00 00 00 00
2026-09-20 11:58:59,083  ddm2 RX 10 03 00 02 01 00 00 00 00
2026-09-20 11:59:05,461  WRITE ac.md ← 2
2026-09-20 11:59:05,461  ddm2 TX 11 03 00 02 01 02 00 00 00
2026-09-20 11:59:05,892  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:05,892  ddm2 RX 10 03 00 02 01 02 00 00 00
2026-09-20 11:59:05,893  ddm2 RX 10 01 00 02 01 01 00 00 00
2026-09-20 11:59:05,922  ddm2 RX 10 0C 00 02 01 00 00 00 00
2026-09-20 11:59:05,922  ddm2 RX 10 02 00 02 01 02 00 00 00
2026-09-20 11:59:05,922  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:06,882  ddm2 RX 10 0B 00 02 01 00 00 00 00
2026-09-20 11:59:08,887  WRITE ac.md ← 5
2026-09-20 11:59:08,887  ddm2 TX 11 03 00 02 01 05 00 00 00
2026-09-20 11:59:09,286  ddm2 RX 10 03 00 02 01 02 00 00 00
2026-09-20 11:59:13,182  WRITE ac.md ← 4
2026-09-20 11:59:13,182  ddm2 TX 11 03 00 02 01 04 00 00 00
2026-09-20 11:59:13,601  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:13,602  ddm2 RX 10 03 00 02 01 04 00 00 00
2026-09-20 11:59:13,901  ddm2 RX 10 01 00 02 01 01 00 00 00
2026-09-20 11:59:13,902  ddm2 RX 10 0C 00 02 01 00 00 00 00
2026-09-20 11:59:13,902  ddm2 RX 10 02 00 02 01 00 00 00 00
2026-09-20 11:59:13,903  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:14,891  ddm2 RX 10 0B 00 02 01 00 00 00 00
2026-09-20 11:59:16,042  WRITE ac.md ← 2
2026-09-20 11:59:16,042  ddm2 TX 11 03 00 02 01 02 00 00 00
2026-09-20 11:59:16,391  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:16,392  ddm2 RX 10 03 00 02 01 02 00 00 00
2026-09-20 11:59:16,901  ddm2 RX 10 01 00 02 01 01 00 00 00
2026-09-20 11:59:16,902  ddm2 RX 10 0C 00 02 01 00 00 00 00
2026-09-20 11:59:16,902  ddm2 RX 10 02 00 02 01 02 00 00 00
2026-09-20 11:59:16,903  ddm2 RX 10 1B 00 02 01 00 00 00 00
2026-09-20 11:59:17,891  ddm2 RX 10 0B 00 02 01 00 00 00 00
